Origin_airport,Destination_airport,Origin_city,Destination_city,Distance,Origin_population,Destination_population
MHK,AMW,"Manhattan, KS","Ames, IA",254,122049,86219
EUG,RDM,"Eugene, OR","Bend, OR",103,284093,76034
MFR,RDM,"Medford, OR","Bend, OR",156,147300,76034
SEA,RDM,"Seattle, WA","Bend, OR",228,5154164,76034
PDX,RDM,"Portland, OR","Bend, OR",116,1534762,76034
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,57948,76034
SFO,RDM,"San Francisco, CA","Bend, OR",462,7436126,76034
LAX,RDM,"Los Angeles, CA","Bend, OR",726,22585772,76034
EAT,RDM,"Wenatchee, WA","Bend, OR",222,80800,80333
YKM,RDM,"Yakima, WA","Bend, OR",162,193723,80333
EUG,RDM,"Eugene, OR","Bend, OR",103,287600,80333
EKO,RDM,"Elko, NV","Bend, OR",362,37382,80333
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,58281,80333
SFO,RDM,"San Francisco, CA","Bend, OR",462,7498756,80333
SEA,RDM,"Seattle, WA","Bend, OR",228,5242050,80333
MFR,RDM,"Medford, OR","Bend, OR",156,150496,80333
PDX,RDM,"Portland, OR","Bend, OR",116,1578432,80333
PDX,RDM,"Portland, OR","Bend, OR",116,1614266,83955
EAT,RDM,"Wenatchee, WA","Bend, OR",222,82818,83955
MFR,RDM,"Medford, OR","Bend, OR",156,154131,83955
SEA,RDM,"Seattle, WA","Bend, OR",228,5347562,83955
SLE,RDM,"Salem, OR","Bend, OR",102,293063,83955
EUG,RDM,"Eugene, OR","Bend, OR",103,290878,83955
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,58686,83955
SFO,RDM,"San Francisco, CA","Bend, OR",462,7578602,83955
SFO,RDM,"San Francisco, CA","Bend, OR",462,7635582,87688
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,59602,87688
YKM,RDM,"Yakima, WA","Bend, OR",162,203827,87688
PDX,RDM,"Portland, OR","Bend, OR",116,1653097,87688
EUG,RDM,"Eugene, OR","Bend, OR",103,294929,87688
EKO,RDM,"Elko, NV","Bend, OR",362,40259,87688
SEA,RDM,"Seattle, WA","Bend, OR",228,5432136,87688
GEG,RDM,"Spokane, WA","Bend, OR",291,390740,87688
RDD,RDM,"Redding, CA","Bend, OR",265,158520,87688
SEA,RDM,"Seattle, WA","Bend, OR",228,5485752,90902
LWS,RDM,"Lewiston, ID","Bend, OR",249,55942,90902
AST,RDM,"Astoria, OR","Bend, OR",187,35091,90902
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,60549,90902
CLM,RDM,"Port Angeles, WA","Bend, OR",290,61623,90902
EUG,RDM,"Eugene, OR","Bend, OR",103,298720,90902
PDT,RDM,"Pendleton, OR","Bend, OR",151,71725,90902
PDX,RDM,"Portland, OR","Bend, OR",116,1686298,90902
PDX,RDM,"Portland, OR","Bend, OR",116,1721558,94869
SJC,RDM,"San Jose, CA","Bend, OR",477,1609027,94869
MFR,RDM,"Medford, OR","Bend, OR",156,165303,94869
GEG,RDM,"Spokane, WA","Bend, OR",291,401315,94869
SEA,RDM,"Seattle, WA","Bend, OR",228,5551884,94869
EAT,RDM,"Wenatchee, WA","Bend, OR",222,89775,94869
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,61140,94869
ACV,RDM,"Eureka, CA","Bend, OR",272,122814,94869
EUG,RDM,"Eugene, OR","Bend, OR",103,302819,94869
EUG,RDM,"Eugene, OR","Bend, OR",103,306326,98602
EKO,RDM,"Elko, NV","Bend, OR",362,45034,98602
PDX,RDM,"Portland, OR","Bend, OR",116,1763420,98602
SEA,RDM,"Seattle, WA","Bend, OR",228,5621538,98602
PUW,RDM,"Pullman, WA","Bend, OR",261,39004,98602
LWS,RDM,"Lewiston, ID","Bend, OR",249,57289,98602
MFR,RDM,"Medford, OR","Bend, OR",156,168209,98602
MFR,RDM,"Medford, OR","Bend, OR",156,170578,101660
SEA,RDM,"Seattle, WA","Bend, OR",228,5727624,101660
RDD,RDM,"Redding, CA","Bend, OR",265,162603,101660
EKO,RDM,"Elko, NV","Bend, OR",362,47413,101660
EUG,RDM,"Eugene, OR","Bend, OR",103,311092,101660
PDX,RDM,"Portland, OR","Bend, OR",116,1800340,101660
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,62779,101660
EAT,RDM,"Wenatchee, WA","Bend, OR",222,92417,101660
SEA,RDM,"Seattle, WA","Bend, OR",228,5831556,105731
RDD,RDM,"Redding, CA","Bend, OR",265,164156,105731
EKO,RDM,"Elko, NV","Bend, OR",362,48011,105731
PDX,RDM,"Portland, OR","Bend, OR",116,1829786,105731
PDX,RDM,"Portland, OR","Bend, OR",116,1855671,110810
SMF,RDM,"Sacramento, CA","Bend, OR",384,1741002,110810
EKO,RDM,"Elko, NV","Bend, OR",362,47319,110810
EUG,RDM,"Eugene, OR","Bend, OR",103,314901,110810
SEA,RDM,"Seattle, WA","Bend, OR",228,5900502,110810
RDD,RDM,"Redding, CA","Bend, OR",265,164530,110810
GEG,RDM,"Spokane, WA","Bend, OR",291,409736,110810
SEA,RDM,"Seattle, WA","Bend, OR",228,6104758,116618
PDX,RDM,"Portland, OR","Bend, OR",116,1936108,116618
PDX,RDM,"Portland, OR","Bend, OR",116,1975589,120667
SEA,RDM,"Seattle, WA","Bend, OR",228,6188760,120667
MFR,RDM,"Medford, OR","Bend, OR",156,183797,120667
FLL,RDM,"Fort Lauderdale, FL","Bend, OR",2601,5120256,120667
SFO,RDM,"San Francisco, CA","Bend, OR",462,8331356,125468
PDX,RDM,"Portland, OR","Bend, OR",116,2010666,125468
MFR,RDM,"Medford, OR","Bend, OR",156,186567,125468
SEA,RDM,"Seattle, WA","Bend, OR",228,6243790,125468
SEA,RDM,"Seattle, WA","Bend, OR",227,6243790,125468
SEA,RDM,"Seattle, WA","Bend, OR",228,6277876,129322
PHX,RDM,"Phoenix, AZ","Bend, OR",893,3600163,129322
BFI,RDM,"Seattle, WA","Bend, OR",233,6277876,129322
GGG,RDM,"Longview, TX","Bend, OR",1643,197353,129322
GTF,RDM,"Great Falls, MT","Bend, OR",522,81065,129322
SFO,RDM,"San Francisco, CA","Bend, OR",462,8306286,129322
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,64549,129322
PDX,RDM,"Portland, OR","Bend, OR",116,2034000,129322
FAT,RDM,"Fresno, CA","Bend, OR",521,844194,129322
EKO,RDM,"Elko, NV","Bend, OR",362,44934,129322
TUS,RDM,"Tucson, AZ","Bend, OR",1003,903320,129322
SMF,RDM,"Sacramento, CA","Bend, OR",384,1967052,129322
MWH,RDM,"Moses Lake, WA","Bend, OR",222,78982,134080
LWS,RDM,"Lewiston, ID","Bend, OR",249,58589,134080
MFR,RDM,"Medford, OR","Bend, OR",156,191697,134080
SEA,RDM,"Seattle, WA","Bend, OR",228,6327406,134080
BIL,RDM,"Billings, MT","Bend, OR",626,144229,134080
DFW,RDM,"Dallas, TX","Bend, OR",1514,11379964,134080
EKO,RDM,"Elko, NV","Bend, OR",362,44964,134080
SFO,RDM,"San Francisco, CA","Bend, OR",462,8287044,134080
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,64753,134080
PDX,RDM,"Portland, OR","Bend, OR",116,2052776,134080
PDX,RDM,"Portland, OR","Bend, OR",116,2084053,140962
RBG,RDM,"Roseburg, OR","Bend, OR",131,102817,140962
SMF,RDM,"Sacramento, CA","Bend, OR",384,2028664,140962
SFO,RDM,"San Francisco, CA","Bend, OR",462,8299214,140962
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,65402,140962
SLC,RDM,"Salt Lake City, UT","Bend, OR",526,1044845,140962
SEA,RDM,"Seattle, WA","Bend, OR",228,6404776,140962
GEG,RDM,"Spokane, WA","Bend, OR",291,440145,140962
EKO,RDM,"Elko, NV","Bend, OR",362,45801,140962
EUG,RDM,"Eugene, OR","Bend, OR",103,335242,140962
EUG,RDM,"Eugene, OR","Bend, OR",103,339280,148670
CPR,RDM,"Casper, WY","Bend, OR",742,70259,148670
RDM,RDM,"Bend, OR","Bend, OR",0,148670,148670
RNO,RDM,"Reno, NV","Bend, OR",336,402383,148670
EKO,RDM,"Elko, NV","Bend, OR",362,47170,148670
PDX,RDM,"Portland, OR","Bend, OR",116,2123960,148670
RBG,RDM,"Roseburg, OR","Bend, OR",131,103685,148670
FBK,RDM,"Fairbanks, AK","Bend, OR",1750,94803,148670
ANC,RDM,"Anchorage, AK","Bend, OR",1658,359341,148670
BIF,RDM,"El Paso, TX","Bend, OR",1172,720756,148670
MWH,RDM,"Moses Lake, WA","Bend, OR",222,81390,148670
SEA,RDM,"Seattle, WA","Bend, OR",228,6519890,148670
RDD,RDM,"Redding, CA","Bend, OR",265,178449,148670
MFR,RDM,"Medford, OR","Bend, OR",156,196165,148670
